
org.videolan.vlc.gui.SecondaryActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.SecondaryActivity -> org.videolan.vlc.gui.DialogActivity
org.videolan.vlc.gui.SecondaryActivity -> org.videolan.vlc.gui.SearchActivity
org.videolan.vlc.gui.SecondaryActivity -> org.videolan.vlc.gui.audio.EqualizerFragment

org.videolan.vlc.gui.browser.NetworkBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.browser.NetworkBrowserFragment -> org.videolan.vlc.gui.DialogActivity
org.videolan.vlc.gui.browser.NetworkBrowserFragment -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog
org.videolan.vlc.gui.browser.NetworkBrowserFragment -> org.videolan.vlc.gui.browser.FileBrowserFragment
org.videolan.vlc.gui.browser.NetworkBrowserFragment -> org.videolan.vlc.gui.dialogs.VlcLoginDialog
